Date,ManufacturingConfidence
11/1/2010,100.9635096
12/1/2010,101.1463299
1/1/2011,101.2841539
2/1/2011,101.3352099
3/1/2011,101.2391647
4/1/2011,100.9917018
5/1/2011,100.5939937
6/1/2011,100.3420424
7/1/2011,100.0727383
8/1/2011,99.89740986
9/1/2011,99.78013884
10/1/2011,99.69214898
11/1/2011,99.70813818
12/1/2011,99.82206028
1/1/2012,99.95207491
2/1/2012,100.0569553
3/1/2012,100.1107691
4/1/2012,100.0817542
5/1/2012,99.89944432
6/1/2012,99.63025707
7/1/2012,99.47135235
8/1/2012,99.45446434
9/1/2012,99.45823258
10/1/2012,99.3716636
11/1/2012,99.3206926
12/1/2012,99.48254431
1/1/2013,99.78073964
2/1/2013,99.93263477
3/1/2013,99.80033735
4/1/2013,99.59477584
5/1/2013,99.56827612
6/1/2013,99.78040232
7/1/2013,100.0825783
8/1/2013,100.3456824
9/1/2013,100.4719574
10/1/2013,100.5088099
11/1/2013,100.4806575
12/1/2013,100.3520759
1/1/2014,100.1815862
2/1/2014,100.2292973
3/1/2014,100.33171
4/1/2014,100.4193618
5/1/2014,100.4772311
6/1/2014,100.5199029
7/1/2014,100.6174553
8/1/2014,100.748093
9/1/2014,100.7634112
10/1/2014,100.7812361
11/1/2014,100.6887069
12/1/2014,100.4385375
1/1/2015,100.1834236
2/1/2015,99.98179651
3/1/2015,99.84354578
4/1/2015,99.80601189
5/1/2015,99.86284622
6/1/2015,99.85497131
7/1/2015,99.72783279
8/1/2015,99.53927429
9/1/2015,99.33540694
10/1/2015,99.15071615
11/1/2015,99.00253817
12/1/2015,98.95011632
1/1/2016,99.0333882
2/1/2016,99.24165118
3/1/2016,99.4721687
4/1/2016,99.59411537
5/1/2016,99.6996583
6/1/2016,99.77261967
7/1/2016,99.68762917
8/1/2016,99.5350052
9/1/2016,99.58011086
10/1/2016,99.74592733
11/1/2016,100.0076689
12/1/2016,100.3107228
1/1/2017,100.5811158
2/1/2017,100.7365466
3/1/2017,100.6882006
4/1/2017,100.5412839
5/1/2017,100.5386734
6/1/2017,100.705296
7/1/2017,100.8716778
8/1/2017,101.114555
9/1/2017,101.2764062
10/1/2017,101.2460517
11/1/2017,101.2155842
12/1/2017,101.2710029
1/1/2018,101.3179851
2/1/2018,101.3405541
3/1/2018,101.228462
4/1/2018,101.1105857
5/1/2018,101.1529325
6/1/2018,101.2577348
7/1/2018,101.3142502
8/1/2018,101.408046
9/1/2018,101.3247625
10/1/2018,101.1263679
11/1/2018,100.920356
12/1/2018,100.6184195
1/1/2019,100.4774875
2/1/2019,100.3547081
3/1/2019,100.3299789
